"","geneNames"
"308","ECE1"
"309","AL031005.1"
"310","AL031728.1"
"311","NBPF3"
"312","ALPL"
"313","USP48"
"314","LDLRAD2"
"315","HSPG2"
"316","LINC01635"
"317","CDC42"
"318","AL031281.2"
"319","WNT4"
"320","ZBTB40"
"321","C1QA"
"322","C1QC"
"323","C1QB"
"324","EPHB2"
"325","TEX46"
"326","KDM1A"
"327","LUZP1"
"328","LINC01355"
"329","AL109936.6"
"330","HNRNPR"
"331","ZNF436"
"332","ZNF436-AS1"
"333","AL109936.2"
"334","TCEA3"
"335","ASAP3"
"336","E2F2"
"337","AL021154.1"
"338","ID3"
"339","MDS2"
"340","RPL11"
"341","ELOA"
"342","ELOA-AS1"
"343","PITHD1"
"344","LYPLA2"
"345","GALE"
"346","HMGCL"
"347","FUCA1"
"348","CNR2"
"349","AL590609.3"
"350","PNRC2"
"351","SRSF10"
"352","MYOM3"
"353","IFNLR1"
"354","STPG1"
"355","NIPAL3"
"356","RCAN3"
"357","AL445686.2"
"358","NCMAP"
"359","SRRM1"
"360","CLIC4"
"361","RUNX3"
"362","AL445471.1"
"363","AL445471.2"
"364","AL050344.1"
"365","AL031432.1"
"366","SYF2"
"367","AL031432.5"
"368","RSRP1"
"369","AL031432.3"
"370","RHD"
"371","TMEM50A"
"372","RHCE"
"373","MACO1"
"374","LDLRAP1"
"375","AL606491.1"
"376","MAN1C1"
"377","AL031280.1"
"378","SELENON"
"379","AL020996.1"
"380","MTFR1L"
"381","AUNIP"
"382","AL033528.2"
"383","PAQR7"
"384","STMN1"
"385","PAFAH2"
"386","EXTL1"
"387","SLC30A2"
"388","TRIM63"
"389","PDIK1L"
"390","FAM110D"
"391","ZNF593"
"392","CNKSR1"
"393","CATSPER4"
"394","CEP85"
"395","SH3BGRL3"
"396","UBXN11"
"397","CD52"
"398","CRYBG2"
"399","ZNF683"
"400","LIN28A"
"401","DHDDS"
"402","AL513365.2"
"403","HMGN2"
"404","RPS6KA1"
"405","AL512408.1"
"406","ARID1A"
"407","PIGV"
"408","ZDHHC18"
"409","SFN"
"410","AL034380.1"
"411","GPN2"
"412","GPATCH3"
"413","NUDC"
"414","KDF1"
"415","TRNP1"
"416","TENT5B"
"417","SLC9A1"
"418","WDTC1"
"419","TMEM222"
"420","SYTL1"
"421","MAP3K6"
"422","CD164L2"
"423","GPR3"
"424","WASF2"
"425","FO393419.2"
"426","BX293535.1"
"427","AHDC1"
"428","FGR"
"429","LINC02574"
"430","IFI6"
"431","AL445490.1"
"432","FAM76A"
"433","STX12"
"434","PPP1R8"
"435","THEMIS2"
"436","RPA2"
"437","SMPDL3B"
"438","AL512288.1"
"439","XKR8"
"440","EYA3"
"441","PTAFR"
"442","DNAJC8"
"443","ATP5IF1"
"444","AL353622.1"
"445","AL353622.2"
"446","SESN2"
"447","MED18"
"448","PHACTR4"
"449","RCC1"
"450","TRNAU1AP"
"451","SNHG12"
"452","TAF12"
"453","RAB42"
"454","LINC01715"
"455","AL360012.1"
"456","GMEB1"
"457","YTHDF2"
"458","OPRD1"
"459","AL009181.1"
"460","EPB41"
"461","TMEM200B"
"462","AL357500.1"
"463","SRSF4"
"464","MECR"
"465","AL590729.1"
"466","PTPRU"
"467","MATN1"
"468","MATN1-AS1"
"469","LAPTM5"
"470","SDC3"
"471","PUM1"
"472","SNRNP40"
"473","ZCCHC17"
"474","AL451070.1"
"475","FABP3"
"476","SERINC2"
"477","TINAGL1"
"478","PEF1"
"479","AC114488.2"
"480","AC114488.3"
"481","COL16A1"
"482","ADGRB2"
"483","SPOCD1"
"484","AL354919.1"
"485","AL136115.2"
"486","PTP4A2"
"487","AL136115.1"
"488","KHDRBS1"
"489","AL445248.1"
"490","TMEM39B"
"491","KPNA6"
"492","TXLNA"
"493","CCDC28B"
"494","AL049795.1"
"495","IQCC"
"496","DCDC2B"
"497","TMEM234"
"498","EIF3I"
"499","FAM167B"
"500","LCK"
"501","HDAC1"
"502","MARCKSL1"
"503","TSSK3"
"504","FAM229A"
"505","BSDC1"
"506","ZBTB8B"
"507","ZBTB8A"
"508","ZBTB8OS"
"509","RBBP4"
"510","SYNC"
"511","KIAA1522"
"512","YARS"
"513","S100PBP"
"514","FNDC5"
"515","HPCA"
"516","RNF19B"
"517","AL020995.1"
