"","geneNames"
"4210","WDR6"
"4211","DALRD3"
"4212","NDUFAF3"
"4213","IMPDH2"
"4214","AC137630.3"
"4215","QRICH1"
"4216","QARS"
"4217","USP19"
"4218","LAMB2"
"4219","CCDC71"
"4220","KLHDC8B"
"4221","CCDC36"
"4222","AC121247.1"
"4223","C3orf62"
"4224","USP4"
"4225","RHOA"
"4226","TCTA"
"4227","AMT"
"4228","AC104452.1"
"4229","NICN1"
"4230","DAG1"
"4231","BSN-DT"
"4232","BSN"
"4233","APEH"
"4234","MST1"
"4235","RNF123"
"4236","AMIGO3"
"4237","GMPPB"
"4238","IP6K1"
"4239","CDHR4"
"4240","INKA1"
"4241","UBA7"
"4242","TRAIP"
"4243","MST1R"
"4244","AC105935.1"
"4245","MON1A"
"4246","RBM6"
"4247","RBM5"
"4248","RBM5-AS1"
"4249","SEMA3F-AS1"
"4250","GNAI2"
"4251","U73166.1"
"4252","SEMA3B"
"4253","LSMEM2"
"4254","IFRD2"
"4255","HYAL3"
"4256","NAA80"
"4257","HYAL1"
"4258","HYAL2"
"4259","TUSC2"
"4260","RASSF1"
"4261","RASSF1-AS1"
"4262","ZMYND10-AS1"
"4263","ZMYND10"
"4264","NPRL2"
"4265","CYB561D2"
"4266","TMEM115"
"4267","CACNA2D2"
"4268","CYB561D2.1"
"4269","C3orf18"
"4270","HEMK1"
"4271","CISH"
"4272","MAPKAPK3"
"4273","LINC02019"
"4274","DOCK3"
"4275","MANF"
"4276","RBM15B"
"4277","DCAF1"
"4278","RAD54L2"
"4279","TEX264"
"4280","GRM2"
"4281","RRP9"
"4282","PARP3"
"4283","GPR62"
"4284","PCBP4"
"4285","ABHD14B"
"4286","ABHD14A"
"4287","ABHD14A-ACY1"
"4288","ACY1"
"4289","RPL29"
"4290","DUSP7"
"4291","POC1A"
"4292","ALAS1"
"4293","TLR9"
"4294","TWF2"
"4295","AC006252.1"
"4296","PPM1M"
"4297","WDR82"
"4298","GLYCTK"
"4299","DNAH1"
"4300","BAP1"
"4301","PHF7"
"4302","SEMA3G"
"4303","TNNC1"
"4304","NISCH"
"4305","STAB1"
"4306","NT5DC2"
"4307","SMIM4"
"4308","PBRM1"
"4309","GNL3"
"4310","GLT8D1"
"4311","SPCS1"
"4312","NEK4"
"4313","ITIH1"
"4314","ITIH3"
"4315","ITIH4"
"4316","AC006254.1"
"4317","ITIH4-AS1"
"4318","TMEM110-MUSTN1"
"4319","STIMATE"
"4320","SFMBT1"
"4321","AC096887.1"
"4322","RFT1"
"4323","PRKCD"
"4324","TKT"
"4325","DCP1A"
"4326","CACNA1D"
"4327","CHDH"
"4328","IL17RB"
"4329","AC012467.2"
"4330","ACTR8"
"4331","SELENOK"
"4332","CACNA2D3"
"4333","WNT5A"
"4334","WNT5A-AS1"
"4335","ERC2"
"4336","CCDC66"
"4337","FAM208A"
"4338","ARHGEF3"
"4339","SPATA12"
"4340","IL17RD"
"4341","HESX1"
"4342","APPL1"
"4343","ASB14"
"4344","DNAH12"
"4345","PDE12"
"4346","ARF4"
"4347","ARF4-AS1"
"4348","DENND6A"
"4349","DENND6A-AS1"
"4350","DENND6A-DT"
"4351","SLMAP"
"4352","FLNB"
"4353","FLNB-AS1"
"4354","DNASE1L3"
"4355","ABHD6"
"4356","RPP14"
"4357","HTD2"
"4358","AC098479.1"
"4359","PXK"
"4360","PDHB"
"4361","AC135507.1"
"4362","AC116036.2"
"4363","KCTD6"
"4364","ACOX2"
"4365","FAM3D"
"4366","C3orf67"
"4367","FHIT"
"4368","PTPRG"
"4369","C3orf14"
"4370","CADPS"
"4371","C3orf49"
"4372","THOC7"
"4373","THOC7-AS1"
"4374","ATXN7"
"4375","ATXN7.1"
"4376","SCAANT1"
"4377","PSMD6-AS2"
"4378","AC012557.1"
"4379","PSMD6"
"4380","PSMD6-AS1"
"4381","AC012557.2"
"4382","AC092040.1"
"4383","PRICKLE2"
"4384","PRICKLE2-AS3"
"4385","MAGI1"
"4386","SLC25A26"
"4387","LRIG1"
"4388","KBTBD8"
"4389","AC114401.1"
"4390","SUCLG2"
"4391","SUCLG2-AS1"
"4392","FAM19A1"
"4393","EOGT"
"4394","AC109587.1"
"4395","TMF1"
"4396","UBA3"
"4397","ARL6IP5"
"4398","LMOD3"
"4399","FRMD4B"
"4400","MITF"
"4401","SAMMSON"
"4402","FOXP1"
"4403","FOXP1-AS1"
"4404","AC097634.2"
"4405","AC097634.3"
"4406","AC097634.1"
"4407","EIF4E3"
"4408","GPR27"
"4409","PROK2"
"4410","LINC00877"
"4411","AC105265.4"
"4412","RYBP"
"4413","AC104435.2"
"4414","SHQ1"
"4415","GXYLT2"
"4416","PPP4R2"
"4417","EBLN2"
"4418","LINC02018"
"4419","LINC00960"
"4420","ZNF717"
"4421","ROBO1"
"4422","AC068756.1"
"4423","LINC02050"
"4424","GBE1"
"4425","LINC00971"
"4426","CADM2"
"4427","AC107204.1"
"4428","CHMP2B"
"4429","AC117513.1"
"4430","HTR1F"
"4431","CGGBP1"
"4432","ZNF654"
"4433","C3orf38"
"4434","PROS1"
"4435","ARL13B"
"4436","STX19"
"4437","DHFR2"
"4438","NSUN3"
"4439","MTRNR2L12"
"4440","ARL6"
"4441","AC110491.3"
"4442","CRYBG3"
"4443","RIOX2"
"4444","OR5H1"
"4445","OR5H14"
"4446","CLDND1"
"4447","CPOX"
"4448","AC021660.2"
"4449","GPR15"
"4450","ST3GAL6-AS1"
"4451","ST3GAL6"
"4452","DCBLD2"
"4453","COL8A1"
"4454","AC069222.1"
"4455","CMSS1"
"4456","FILIP1L"
"4457","TBC1D23"
"4458","NIT2"
"4459","TOMM70"
"4460","LNP1"
"4461","TMEM45A"
"4462","TFG"
"4463","ABI3BP"
"4464","IMPG2"
"4465","SENP7"
"4466","TRMT10C"
"4467","PCNP"
"4468","ZBTB11"
"4469","ZBTB11-AS1"
"4470","RPL24"
"4471","CEP97"
"4472","NXPE3"
"4473","AC020651.1"
"4474","NFKBIZ"
"4475","AC106712.1"
"4476","ALCAM"
"4477","CBLB"
"4478","LINC00882"
"4479","DUBR"
"4480","AC063944.1"
"4481","LINC01990"
"4482","BBX"
"4483","LINC00636"
"4484","CD47"
"4485","LINC01215"
"4486","IFT57"
"4487","HHLA2"
"4488","MYH15"
"4489","CIP2A"
"4490","DZIP3"
"4491","TRAT1"
"4492","MORC1"
"4493","DPPA4"
"4494","LINC01205"
"4495","AC117402.1"
"4496","NECTIN3-AS1"
"4497","NECTIN3"
"4498","CD96"
"4499","ZBED2"
"4500","PLCXD2"
"4501","PLCXD2-AS1"
"4502","PHLDB2"
"4503","ABHD10"
"4504","TAGLN3"
"4505","TMPRSS7"
"4506","C3orf52"
"4507","GCSAM"
"4508","AC128688.2"
"4509","SLC9C1"
"4510","AC112487.1"
"4511","CD200"
"4512","AC092894.1"
"4513","BTLA"
"4514","ATG3"
"4515","SLC35A5"
"4516","CCDC80"
"4517","LINC02042"
"4518","CD200R1"
"4519","AC074044.1"
"4520","GTPBP8"
"4521","NEPRO"
"4522","AC078785.1"
"4523","AC078785.2"
"4524","LINC02044"
"4525","BOC"
"4526","CFAP44"
"4527","SPICE1"
"4528","SIDT1"
"4529","SIDT1-AS1"
"4530","USF3"
"4531","NAA50"
"4532","AC108693.2"
"4533","ATP6V1A"
"4534","GRAMD1C"
"4535","AC128687.2"
"4536","ZDHHC23"
"4537","CCDC191"
"4538","QTRT2"
"4539","AC093010.2"
"4540","ZNF80"
"4541","TIGIT"
"4542","ZBTB20"
"4543","ZBTB20-AS1"
"4544","ZBTB20-AS5"
"4545","ZBTB20-AS2"
"4546","ZBTB20-AS3"
"4547","ZBTB20-AS4"
"4548","AC046136.1"
"4549","GAP43"
"4550","LSAMP"
"4551","AC068633.1"
"4552","IGSF11"
"4553","UPK1B"
"4554","B4GALT4"
"4555","ARHGAP31"
"4556","ARHGAP31-AS1"
"4557","TMEM39A"
"4558","POGLUT1"
"4559","AC073352.1"
"4560","TIMMDC1"
"4561","CD80"
"4562","AC073352.2"
"4563","ADPRH"
"4564","PLA1A"
"4565","POPDC2"
"4566","COX17"
"4567","MAATS1"
"4568","NR1I2"
"4569","GSK3B"
"4570","AC092910.3"
"4571","LRRC58"
"4572","FSTL1"
"4573","NDUFB4"
"4574","HGD"
"4575","RABL3"
"4576","GTF2E1"
"4577","POLQ"
"4578","FBXO40"
"4579","HCLS1"
"4580","GOLGB1"
"4581","IQCB1"
"4582","EAF2"
"4583","SLC15A2"
"4584","ILDR1"
"4585","CD86"
"4586","CASR"
"4587","CSTA"
"4588","CCDC58"
"4589","FAM162A"
"4590","WDR5B"
"4591","AC083798.2"
"4592","KPNA1"
"4593","PARP9"
"4594","DTX3L"
"4595","PARP15"
"4596","PARP14"
"4597","HSPBAP1"
"4598","DIRC2"
"4599","LINC02035"
"4600","SEMA5B"
"4601","PDIA5"
"4602","SEC22A"
"4603","AC112503.2"
"4604","ADCY5"
"4605","AC112503.1"
"4606","HACD2"
"4607","MYLK-AS1"
"4608","MYLK"
"4609","MYLK-AS2"
"4610","AC020634.1"
"4611","CCDC14"
"4612","KALRN"
"4613","UMPS"
"4614","ITGB5"
"4615","HEG1"
"4616","SLC12A8"
"4617","ZNF148"
"4618","SNX4"
"4619","OSBPL11"
"4620","AC092902.3"
"4621","AC092903.2"
"4622","ALG1L"
"4623","SLC41A3"
"4624","AC079848.1"
"4625","ALDH1L1"
"4626","KLF15"
"4627","CFAP100"
"4628","ZXDC"
"4629","UROC1"
"4630","CHST13"
"4631","TXNRD3"
"4632","CHCHD6"
"4633","PLXNA1"
"4634","AC084035.1"
"4635","TPRA1"
"4636","MCM2"
"4637","PODXL2"
"4638","ABTB1"
"4639","MGLL"
"4640","KBTBD12"
"4641","SEC61A1"
"4642","RUVBL1"
"4643","RUVBL1-AS1"
"4644","EEFSEC"
"4645","GATA2"
"4646","GATA2-AS1"
"4647","RPN1"
"4648","RAB7A"
"4649","AC112484.3"
"4650","ACAD9"
"4651","KIAA1257"
"4652","EFCC1"
"4653","GP9"
"4654","RAB43"
"4655","AC108673.2"
"4656","ISY1"
"4657","AC108673.3"
"4658","CNBP"
"4659","COPG1"
"4660","HMCES"
"4661","H1FX"
"4662","H1FX-AS1"
"4663","EFCAB12"
"4664","MBD4"
"4665","IFT122"
"4666","PLXND1"
"4667","TMCC1"
"4668","TMCC1-AS1"
"4669","TRH"
"4670","ALG1L2"
"4671","LINC02014"
"4672","LINC02021"
"4673","COL6A6"
"4674","PIK3R4"
"4675","ATP2C1"
"4676","AC055733.2"
"4677","ASTE1"
"4678","NEK11"
"4679","NUDT16"
"4680","MRPL3"
"4681","AC107027.1"
"4682","CPNE4"
"4683","ACPP"
"4684","DNAJC13"
"4685","ACAD11"
"4686","NPHP3-ACAD11"
"4687","ACKR4"
"4688","UBA5"
"4689","NPHP3"
"4690","NPHP3-AS1"
"4691","TMEM108"
"4692","BFSP2"
"4693","BFSP2-AS1"
"4694","AC022296.3"
"4695","CDV3"
"4696","TOPBP1"
"4697","TF"
"4698","SRPRB"
"4699","RAB6B"
"4700","SLCO2A1"
"4701","RYK"
"4702","ANAPC13"
"4703","CEP63"
"4704","EPHB1"
"4705","PPP2R3A"
"4706","AC072039.2"
"4707","MSL2"
"4708","PCCB"
"4709","STAG1"
"4710","AC117382.2"
"4711","SLC35G2"
"4712","AC096992.2"
"4713","NCK1-DT"
"4714","NCK1"
"4715","IL20RB"
"4716","IL20RB-AS1"
"4717","AC016252.1"
"4718","DZIP1L"
"4719","DBR1"
"4720","ARMC8"
"4721","NME9"
"4722","MRAS"
"4723","ESYT3"
"4724","CEP70"
"4725","FAIM"
"4726","PIK3CB"
"4727","FOXL2NB"
"4728","MRPS22"
"4729","AC024933.1"
"4730","COPB2"
"4731","AC097103.2"
"4732","RBP2"
"4733","AC097103.1"
"4734","RBP1"
"4735","NMNAT3"
"4736","CLSTN2"
"4737","SLC25A36"
"4738","PXYLP1"
"4739","ZBTB38"
"4740","RASA2"
"4741","RNF7"
"4742","GRK7"
"4743","ATP1B3"
"4744","ATP1B3-AS1"
"4745","TFDP2"
"4746","GK5"
"4747","XRN1"
"4748","ATR"
"4749","PLS1"
"4750","TRPC1"
"4751","PAQR9-AS1"
"4752","U2SURP"
"4753","AC026304.1"
"4754","CHST2"
"4755","SLC9A9"
"4756","SLC9A9-AS1"
"4757","SLC9A9-AS2"
"4758","C3orf58"
"4759","PLOD2"
"4760","PLSCR4"
"4761","PLSCR2"
"4762","PLSCR1"
"4763","CPB1"
"4764","CPA3"
"4765","GYG1"
"4766","HLTF"
"4767","HPS3"
"4768","CP"
"4769","TM4SF1"
"4770","WWTR1"
"4771","WWTR1-AS1"
"4772","COMMD2"
"4773","ANKUB1"
"4774","RNF13"
"4775","PFN2"
"4776","AC117395.1"
"4777","TSC22D2"
"4778","SERP1"
"4779","EIF2A"
"4780","SELENOT"
"4781","ERICH6"
"4782","ERICH6-AS1"
"4783","SIAH2"
"4784","SIAH2-AS1"
"4785","CLRN1-AS1"
"4786","MINDY4B"
"4787","AC020636.1"
"4788","MED12L"
"4789","GPR171"
"4790","P2RY14"
"4791","P2RY13"
"4792","P2RY12"
"4793","IGSF10"
"4794","SUCNR1"
"4795","AC108718.1"
"4796","MBNL1"
"4797","MBNL1-AS1"
"4798","AC026347.1"
"4799","P2RY1"
"4800","AC117394.2"
"4801","RAP2B"
"4802","AC078788.1"
"4803","ARHGEF26"
"4804","DHX36"
"4805","MME"
"4806","PLCH1"
"4807","C3orf33"
"4808","AC104472.3"
"4809","SLC33A1"
"4810","GMPS"
"4811","KCNAB1"
"4812","AC084036.1"
"4813","SSR3"
"4814","TIPARP-AS1"
"4815","TIPARP"
"4816","LINC00886"
"4817","LEKR1"
"4818","LINC00880"
"4819","LINC02029"
"4820","LINC00881"
"4821","CCNL1"
"4822","VEPH1"
"4823","PTX3"
"4824","SHOX2"
"4825","RSRC1"
"4826","AC106707.1"
"4827","MLF1"
"4828","GFM1"
"4829","LXN"
"4830","AC080013.4"
"4831","AC080013.6"
"4832","RARRES1"
"4833","MFSD1"
"4834","AC080013.1"
"4835","AC080013.5"
"4836","IQCJ-SCHIP1"
"4837","SCHIP1"
"4838","IL12A-AS1"
"4839","IL12A"
"4840","C3orf80"
"4841","IFT80"
"4842","SMC4"
"4843","TRIM59"
"4844","KPNA4"
"4845","ARL14"
"4846","AC069224.1"
"4847","PPM1L"
"4848","B3GALNT1"
"4849","NMD3"
"4850","SPTSSB"
"4851","LINC02067"
"4852","AC112491.1"
"4853","AC128685.1"
"4854","SERPINI2"
"4855","WDR49"
"4856","PDCD10"
"4857","SERPINI1"
"4858","GOLIM4"
"4859","LINC02082"
"4860","MECOM"
"4861","TERC"
"4862","ACTRT3"
"4863","AC078802.1"
"4864","MYNN"
"4865","AC078795.1"
"4866","LRRC34"
"4867","AC078795.3"
"4868","AC078795.2"
"4869","AC008040.1"
"4870","SEC62"
"4871","SEC62-AS1"
"4872","GPR160"
"4873","PHC3"
"4874","AC008040.5"
"4875","PRKCI"
"4876","AC073288.1"
"4877","SKIL"
"4878","CLDN11"
"4879","SLC7A14"
"4880","RPL22L1"
"4881","EIF5A2"
"4882","TNIK"
"4883","AC092919.1"
"4884","PLD1"
"4885","TMEM212"
"4886","FNDC3B"
"4887","GHSR"
"4888","TNFSF10"
"4889","LINC02068"
"4890","NCEH1"
"4891","ECT2"
"4892","NLGN1"
"4893","NAALADL2"
"4894","NAALADL2-AS2"
"4895","LINC01209"
"4896","TBL1XR1"
"4897","TBL1XR1-AS1"
"4898","LINC00501"
"4899","AC026355.1"
"4900","KCNMB2-AS1"
"4901","ZMAT3"
"4902","PIK3CA"
"4903","KCNMB3"
"4904","ZNF639"
"4905","AC007823.1"
"4906","MFN1"
"4907","GNB4"
"4908","AC007620.2"
"4909","AC007620.3"
"4910","ACTL6A"
"4911","AC090425.2"
"4912","AC090425.1"
"4913","MRPL47"
"4914","NDUFB5"
"4915","USP13"
"4916","PEX5L"
"4917","AC007687.1"
"4918","AC125618.1"
"4919","TTC14"
"4920","CCDC39"
"4921","CCDC39.1"
"4922","FXR1"
"4923","DNAJC19"
"4924","SOX2"
"4925","AC069431.1"
"4926","ATP11B"
"4927","AC092953.2"
"4928","DCUN1D1"
"4929","MCCC1"
"4930","LAMP3"
"4931","MCF2L2"
"4932","B3GNT5"
"4933","KLHL6"
"4934","KLHL6-AS1"
"4935","KLHL24"
"4936","YEATS2"
"4937","YEATS2-AS1"
"4938","MAP6D1"
"4939","PARL"
"4940","ABCC5"
"4941","HTR3E-AS1"
"4942","HTR3E"
"4943","AC131235.4"
"4944","AC131235.3"
"4945","EIF2B5"
"4946","DVL3"
"4947","AP2M1"
"4948","ABCF3"
"4949","ALG3"
"4950","EEF1AKMT4"
"4951","CAMK2N2"
"4952","PSMD2"
"4953","EIF4G1"
"4954","FAM131A"
"4955","CLCN2"
"4956","POLR2H"
"4957","LINC02054"
"4958","LINC01840"
"4959","EPHB3"
"4960","MAGEF1"
"4961","AC107294.2"
"4962","AC107294.3"
"4963","AC107294.1"
"4964","LINC02069"
"4965","VPS8"
"4966","C3orf70"
"4967","EHHADH"
"4968","MAP3K13"
"4969","TMEM41A"
"4970","LIPH"
"4971","SENP2"
"4972","IGF2BP2"
"4973","TRA2B"
"4974","ETV5"
"4975","DGKG"
"4976","CRYGS"
"4977","TBCCD1"
"4978","DNAJB11"
"4979","AC068631.1"
"4980","HRG"
"4981","KNG1"
"4982","AC112907.3"
"4983","EIF4A2"
"4984","RFC4"
"4985","AC112907.1"
"4986","LINC02043"
"4987","ADIPOQ"
"4988","ST6GAL1"
"4989","RPL39L"
"4990","AC007920.2"
"4991","RTP4"
"4992","AC072022.1"
"4993","BCL6"
"4994","LPP-AS2"
"4995","LPP"
"4996","LPP-AS1"
"4997","TPRG1-AS1"
"4998","TPRG1"
"4999","TP63"
"5000","P3H2"
"5001","P3H2-AS1"
"5002","CLDN1"
"5003","CLDN16"
"5004","IL1RAP"
"5005","OSTN"
"5006","OSTN-AS1"
"5007","UTS2B"
"5008","CCDC50"
"5009","MB21D2"
"5010","HRASLS"
"5011","ATP13A4"
"5012","OPA1"
"5013","OPA1-AS1"
"5014","LINC02026"
"5015","AC080129.2"
"5016","HES1"
"5017","LINC02036"
"5018","LINC00887"
"5019","GP5"
"5020","ATP13A3"
"5021","LINC00884"
"5022","TMEM44-AS1"
"5023","TMEM44"
"5024","AC046143.1"
"5025","AC046143.2"
"5026","LSG1"
"5027","FAM43A"
"5028","LINC01972"
"5029","XXYLT1"
"5030","XXYLT1-AS2"
"5031","ACAP2"
"5032","PPP1R2"
"5033","AC069213.1"
"5034","AC233280.1"
"5035","MUC20-OT1"
"5036","MUC20"
"5037","MUC4"
"5038","TNK2"
"5039","TNK2-AS1"
"5040","AC124944.1"
"5041","TFRC"
"5042","LINC00885"
"5043","ZDHHC19"
"5044","SLC51A"
"5045","PCYT1A"
"5046","TCTEX1D2"
"5047","TM4SF19-TCTEX1D2"
"5048","TM4SF19-AS1"
"5049","TM4SF19"
"5050","UBXN7"
"5051","UBXN7-AS1"
"5052","RNF168"
"5053","AC117490.2"
"5054","WDR53"
"5055","FBXO45"
"5056","LINC01063"
"5057","NRROS"
"5058","PIGX"
"5059","CEP19"
"5060","PAK2"
"5061","SENP5"
"5062","NCBP2"
"5063","NCBP2-AS1"
"5064","NCBP2-AS2"
"5065","PIGZ"
"5066","MELTF"
"5067","MELTF-AS1"
"5068","DLG1"
"5069","DLG1-AS1"
"5070","AC128709.2"
"5071","AC128709.1"
"5072","LINC02012"
"5073","BDH1"
"5074","AC024560.3"
"5075","AC024560.1"
"5076","RUBCN"
"5077","FYTTD1"
"5078","AC055764.2"
"5079","LRCH3"
"5080","AC055764.1"
"5081","IQCG"
"5082","RPL35A"
"5083","LMLN"
"5084","LMLN-AS1"
"5085","ZNF595"
"5086","ZNF718"
"5087","ZNF732"
"5088","ZNF141"
"5089","AC092574.1"
"5090","ZNF721"
"5091","PIGG"
"5092","PDE6B"
"5093","AC107464.1"
"5094","AC107464.3"
"5095","ATP5ME"
"5096","MYL5"
"5097","SLC49A3"
"5098","PCGF3"
"5099","AC139887.4"
"5100","AC139887.2"
"5101","AC139887.1"
"5102","CPLX1"
"5103","GAK"
"5104","TMEM175"
"5105","DGKQ"
"5106","SLC26A1"
"5107","IDUA"
"5108","FGFRL1"
"5109","RNF212"
"5110","AC092535.1"
"5111","SPON2"
"5112","AC092535.4"
"5113","CTBP1-AS"
"5114","CTBP1"
"5115","CTBP1-DT"
"5116","MAEA"
"5117","UVSSA"
"5118","AC147067.2"
"5119","AC147067.1"
"5120","FAM53A"
"5121","SLBP"
"5122","AC016773.1"
"5123","TMEM129"
"5124","TACC3"
"5125","FGFR3"
"5126","LETM1"
"5127","NSD2"
"5128","NELFA"
"5129","C4orf48"
"5130","NAT8L"
"5131","POLN"
"5132","HAUS3"
"5133","MXD4"
"5134","ZFYVE28"
"5135","CFAP99"
"5136","RNF4"
"5137","FAM193A"
"5138","TNIP2"
"5139","SH3BP2"
"5140","ADD1"
"5141","MFSD10"
"5142","NOP14-AS1"
"5143","NOP14"
"5144","GRK4"
"5145","HTT"
"5146","MSANTD1"
"5147","RGS12"
"5148","HGFAC"
"5149","DOK7"
"5150","LRPAP1"
"5151","TMEM128"
"5152","LYAR"
"5153","ZBTB49"
"5154","AC105415.1"
"5155","NSG1"
"5156","STX18"
"5157","STX18-AS1"
"5158","LINC01396"
"5159","MSX1"
"5160","CYTL1"
"5161","STK32B"
"5162","EVC2"
"5163","EVC"
"5164","CRMP1"
"5165","C4orf50"
"5166","JAKMIP1"
"5167","AC113615.1"
"5168","WFS1"
"5169","PPP2R2C"
"5170","MAN2B2"
"5171","MRFAP1"
"5172","LINC02482"
"5173","AC093323.1"
"5174","LINC002481"
"5175","S100P"
"5176","MRFAP1L1"
"5177","BLOC1S4"
"5178","KIAA0232"
"5179","TBC1D14"
"5180","AC097382.2"
"5181","CCDC96"
"5182","TADA2B"
"5183","GRPEL1"
"5184","LINC02447"
"5185","SORCS2"
"5186","AFAP1-AS1"
"5187","AFAP1"
"5188","AC097381.1"
"5189","ABLIM2"
"5190","SH3TC1"
"5191","HTRA3"
"5192","AC104825.1"
"5193","ACOX3"
"5194","TRMT44"
"5195","AC105345.2"
"5196","AC105345.1"
"5197","FAM90A26"
"5198","SLC2A9"
"5199","WDR1"
"5200","ZNF518B"
"5201","CLNK"
"5202","HS3ST1"
"5203","AC025539.1"
"5204","AC007370.2"
"5205","AC007370.1"
"5206","RAB28"
"5207","BOD1L1"
"5208","AC092546.1"
"5209","LINC00504"
"5210","CPEB2-DT"
"5211","CPEB2"
"5212","AC098829.1"
"5213","C1QTNF7"
"5214","AC099550.1"
"5215","CC2D2A"
"5216","AC116651.1"
"5217","FBXL5"
"5218","FAM200B"
"5219","BST1"
"5220","CD38"
"5221","FGFBP2"
"5222","PROM1"
"5223","TAPT1"
"5224","AC108063.1"
"5225","TAPT1-AS1"
"5226","LDB2"
"5227","QDPR"
"5228","LAP3"
"5229","AC006160.1"
"5230","MED28"
"5231","FAM184B"
"5232","DCAF16"
"5233","NCAPG"
"5234","LCORL"
"5235","SLIT2"
"5236","PACRGL"
"5237","KCNIP4"
"5238","AC097505.1"
"5239","KCNIP4-IT1"
"5240","ADGRA3"
"5241","PPARGC1A"
"5242","DHX15"
"5243","LINC02473"
"5244","CCDC149"
"5245","SEPSECS"
"5246","SEPSECS-AS1"
"5247","AC104662.1"
"5248","PI4K2B"
"5249","ZCCHC4"
"5250","ANAPC4"
"5251","SEL1L3"
"5252","AC092436.4"
"5253","SMIM20"
"5254","AC133961.1"
"5255","LINC02357"
"5256","RBPJ"
"5257","TBC1D19"
"5258","STIM2"
"5259","AC106047.1"
"5260","LINC02261"
"5261","AC068944.1"
"5262","AC104071.1"
"5263","LINC02506"
"5264","ARAP2"
"5265","AC104078.1"
"5266","DTHD1"
"5267","C4orf19"
"5268","AC027607.1"
"5269","RELL1"
"5270","PGM2"
"5271","TBC1D1"
"5272","PTTG2"
"5273","LINC02513"
"5274","LINC01258"
"5275","LINC01259"
"5276","AC021860.1"
"5277","KLF3"
"5278","TLR10"
"5279","TLR1"
"5280","TLR6"
"5281","FAM114A1"
"5282","TMEM156"
"5283","KLHL5"
"5284","AC079921.1"
"5285","AC079921.2"
"5286","WDR19"
"5287","RFC1"
"5288","KLB"
"5289","RPL9"
"5290","LIAS"
"5291","UGDH"
"5292","UGDH-AS1"
"5293","SMIM14"
"5294","AC108471.2"
"5295","UBE2K"
"5296","PDS5A"
"5297","N4BP2"
"5298","RHOH"
"5299","AC095057.2"
"5300","LINC02265"
"5301","CHRNA9"
"5302","RBM47"
"5303","NSUN7"
"5304","APBB2"
"5305","UCHL1"
"5306","LIMCH1"
"5307","TMEM33"
"5308","DCAF4L1"
"5309","AC106052.1"
"5310","SLC30A9"
"5311","BEND4"
"5312","AC111006.1"
"5313","SHISA3"
"5314","ATP8A1"
"5315","AC096734.2"
"5316","AC096734.1"
"5317","YIPF7"
"5318","GUF1"
"5319","GNPDA2"
"5320","AC096586.2"
"5321","AC096586.1"
"5322","GABRA4"
"5323","GABRB1"
"5324","COMMD8"
"5325","ATP10D"
"5326","CORIN"
"5327","AC107068.2"
"5328","AC107068.1"
"5329","NFXL1"
"5330","NIPAL1"
"5331","CNGA1"
"5332","TXK"
"5333","TEC"
"5334","SLAIN2"
"5335","SLC10A4"
"5336","ZAR1"
"5337","FRYL"
"5338","OCIAD1"
"5339","OCIAD2"
"5340","DCUN1D4"
"5341","AC027271.1"
"5342","LRRC66"
"5343","SGCB"
"5344","SPATA18"
"5345","USP46"
"5346","USP46-AS1"
"5347","ERVMER34-1"
"5348","LINC01618"
"5349","RASL11B"
"5350","SCFD2"
"5351","AC023154.1"
"5352","FIP1L1"
"5353","LNX1"
"5354","AC110792.3"
"5355","CHIC2"
"5356","AC110792.2"
"5357","PDGFRA"
"5358","KIT"
"5359","SRD5A3"
"5360","AC069200.1"
"5361","TMEM165"
"5362","CLOCK"
"5363","AC024243.1"
"5364","NMU"
"5365","EXOC1"
"5366","CEP135"
"5367","KIAA1211"
"5368","AASDH"
"5369","AC068620.1"
"5370","PPAT"
"5371","AC068620.2"
"5372","PAICS"
"5373","SRP72"
"5374","ARL9"
"5375","HOPX"
"5376","SPINK2"
"5377","REST"
"5378","AC069307.1"
"5379","NOA1"
"5380","POLR2B"
"5381","IGFBP7"
"5382","IGFBP7-AS1"
"5383","LINC02271"
"5384","ADGRL3"
"5385","AC020741.1"
"5386","LINC02232"
"5387","AC104806.2"
"5388","CENPC"
"5389","STAP1"
"5390","UBA6"
"5391","UBA6-AS1"
"5392","GNRHR"
"5393","TMPRSS11D"
"5394","TMPRSS11A"
"5395","TMPRSS11B"
"5396","YTHDC1"
"5397","UGT2B17"
"5398","UGT2B15"
"5399","UGT2A1"
"5400","SULT1B1"
"5401","SULT1E1"
"5402","CSN1S1"
"5403","HTN1"
"5404","PRR27"
"5405","ENAM"
"5406","JCHAIN"
"5407","UTP3"
"5408","AC009570.1"
"5409","RUFY3"
"5410","GRSF1"
"5411","MOB1B"
"5412","DCK"
"5413","SLC4A4"
"5414","NPFFR2"
"5415","COX18"
"5416","ANKRD17"
"5417","AC053527.1"
"5418","ALB"
"5419","RASSF6"
"5420","CXCL8"
"5421","PF4V1"
"5422","CXCL1"
"5423","PF4"
"5424","PPBP"
"5425","CXCL5"
"5426","CXCL3"
"5427","CXCL2"
"5428","MTHFD2L"
"5429","AC093677.2"
"5430","EPGN"
"5431","EREG"
"5432","AREG"
"5433","BTC"
"5434","PARM1"
"5435","LINC02562"
"5436","RCHY1"
"5437","THAP6"
"5438","ODAPH"
"5439","CDKL2"
